SA_fleet	species	age_quarters	selectivity
S-ASS-ALL-4	BET	18	0
S-ASS-ALL-4	BET	19	0
S-ASS-ALL-4	BET	20	0
S-ASS-ALL-4	BET	21	0
S-ASS-ALL-4	BET	22	0
S-ASS-ALL-4	BET	23	0
S-ASS-ALL-4	BET	24	0
S-ASS-ALL-4	BET	25	0
S-ASS-ALL-4	BET	26	0
S-ASS-ALL-4	BET	27	0
S-ASS-ALL-4	BET	28	0
S-ASS-ALL-4	BET	29	0
S-ASS-ALL-4	BET	30	0
S-ASS-ALL-4	BET	31	0
S-ASS-ALL-4	BET	32	0
S-ASS-ALL-4	BET	33	0
S-ASS-ALL-4	BET	34	0
S-ASS-ALL-4	BET	35	0
S-ASS-ALL-4	BET	36	0
S-ASS-ALL-4	BET	37	0
S-ASS-ALL-4	BET	38	0
S-ASS-ALL-4	BET	39	0
S-ASS-ALL-4	BET	40	0
S-UNA-ALL-4	BET	1	0.07
S-UNA-ALL-4	BET	2	0.1
S-UNA-ALL-4	BET	3	0.28
S-UNA-ALL-4	BET	4	0.69
S-UNA-ALL-4	BET	5	1
S-UNA-ALL-4	BET	6	0.78
S-UNA-ALL-4	BET	7	0.43
S-UNA-ALL-4	BET	8	0.23
S-UNA-ALL-4	BET	9	0.13
S-UNA-ALL-4	BET	10	0.11
S-UNA-ALL-4	BET	11	0.11
S-UNA-ALL-4	BET	12	0.11
S-UNA-ALL-4	BET	13	0.09
S-UNA-ALL-4	BET	14	0.09
S-UNA-ALL-4	BET	15	0.07
S-UNA-ALL-4	BET	16	0.04
S-UNA-ALL-4	BET	17	0.02
S-UNA-ALL-4	BET	18	0.02
S-UNA-ALL-4	BET	19	0.02
S-UNA-ALL-4	BET	20	0.02
S-UNA-ALL-4	BET	21	0.02
S-UNA-ALL-4	BET	22	0
S-UNA-ALL-4	BET	23	0
S-UNA-ALL-4	BET	24	0
S-UNA-ALL-4	BET	25	0
S-UNA-ALL-4	BET	26	0
S-UNA-ALL-4	BET	27	0
S-UNA-ALL-4	BET	28	0
S-UNA-ALL-4	BET	29	0
S-UNA-ALL-4	BET	30	0
